##################################################
#            #  #  # #  #            # # #     # #
## #####     #  #  # #  #            # # #### ## #
↑    # #     #  #    #  ####### ###### #   #   # #
#    # #        #  # #  #     #  # # # # # #   # #
#      ### ###  #  # #  #     #  # # # # # #   # #
#    # # #   #     # #  #        # # # # #     # #
#    # # #   ##### # #  #### ##  # # # # # #   # #
#    # #     #     # #  #  #  #  # # # # # #   # #
#    # # #   #### ####  #  #  #  # # # # # #   # #
#    # # #   #     # #  #  #  #  # # # # # #   # #
#    # # #   #       #  #  #  #    # # # ####### #
############ #     # #  #  #  #  # # # #       # #
# #          # ##### #  #     #  # # # #     # # #
# #### #######     # #  ####### ## # # #     # # #
# #          #     # #  #        # # # #     # # #
#            #     #      ###### # # # ## #### # ↓
# #          #     # #  # # #    # # # #  #  # # #
############ #########  # # #    # # #    #  # # #
# #   #              #  # # #    # # # #  #  # # #
# #   #              #  # # #    #   # #     # # #
# #   #              #  # # #    # # # #  #  # # #
# #   ### ############  # # #    # # # #  #  # # #
# #   #              #  # # #    # # # #  #  #   #
# #                  #  # # #    # # # #  #  # # #
# #   #              #  # #      # # # #  #  # # #
# ## #################  # ########## # #  #  # # #
# #           #      #  #     #    # # #  #  # # #
# #           # #    #  #          # # #  #  # # #
# #           # #    #  ## ####    # #### ###### #
# ####### ##### #    #  #     #    # #  #    # # #
# #   #    #  # #    #  #     #    # #  #      # #
# #   #    #  ###### #  #     #    # #  #    # # #
# #   #    #  #   #  ######## ########  #    # # #
# #        #  #   #  # #             #  #    # # #
#     #    #  #   #  # ###### ########  #    # # #
# #   #    #  #   #  #               #  ## ##### #
# #   #    #  #   #  # #             #         # #
# #   #    #  #   #  # #                #      # #
# #   #    #  #   #  ########### ############### #
# #   #       #   #  #                         # #
# #   #    #      #  ################### #########
# #   #    #  #   #  #                           #
# #   #    #  #   #  #                      #    #
# #   #### ####   #  ## #####################    #
# #   #       #   #  #                      #    #
# #   #       #   #  #                      #    #
# #   #       #   #  #                      #    #
# #   #       #      #                      #    #
##################################################
