##################################################
# #           # # # #               # #          #
# # #           # # ####### #########            #
# # #         # # # #          #  # # #          #
# # ##### ##### # # #             # # # ##########
#   #         # # # #          #  # # #          #
# # #         # # # #          #    # #   ###### #
# ### ######### # # ## #########  # # #   #      #
# #           # # #            #  # # #   #      #
↑ #           # # # #          #  # # #   #      ↓
# #           # # # #          #  # # #   #      #
####### ####### # # #          #  # ######### ####
# #  #  #     # # # ########## #### # # #        #
# #  #  #   # # #   #             # # # # # #    #
# #  #  #   # # # # #             # # # # # #    #
# #         # # # # #             # # # # # #    #
# #  #  #   # # # # #             # # # # # #    #
# # #####   # # # ########## ######## # # # #    #
# #     ### ### # #                 #   # ### ####
# #     #     # ############# ####### # # #      #
# #### ######## #         #         # # # #      #
#    # #   #  # #                   # # # #      #
# #  # #   #  # ######### ######## ## # ####### ##
# #  # #   #  #           #         # #          #
# #  # #   #  # #         #         # # ##########
# #  # #   #  ####### ############### # # #      #
# #  # #   #  #    #  #     #       # # # ###### #
# #  # #   #  #    #  #             # # # #    # #
# #  # #      #    #  #### ###### ### # # #    # #
# #  #     #  #    #  #     #       # # # #    # #
# #  ### ###  #    #  #     #         # # #    # #
# #  # #   #  #    #  ############ ## # # #    # #
# #  # #   #  #    #  #     #       # # #      # #
# #  # #   #  #    #  ##### #       # # # #    # #
# #  # #   #  #       #     #       # # # #      #
# #  #     #  #    #      # #       # # # #    # #
# #  ##### ####    #  #   # #### #### # # #    # #
# #  # #   #  #    #  #   #         # # ### ######
# #    #   #  ## ######   # #       # #          #
# #  # #   #  #       #   # #       # # #        #
# #  # #   #  ################# ##################
# #  # #   #  # #      #                         #
# #  #     #  # #                                #
# #  # #   #  # #      #### ######################
# #  # #   #  # ###### #                         #
# #  # #   #  # #      #                         #
# #  # #      # ########### ######################
# #  # ##### ##                                  #
# #  # #      # #                                #
##################################################
